episode,avg_profit_per_hand,epsilon,num_states,num_state_actions,elapsed_sec
2000000,-0.07765925,0.020300272184030594,4680,15061,18.3
4000000,-0.03664342228778329,0.01,4680,15064,44.5
6000000,0.0,0.01,4680,15066,70.9
8000000,0.0,0.01,4680,15067,97.0
10000000,0.0,0.01,4680,15069,123.1
12000000,0.0,0.01,4680,15070,148.6
14000000,0.0,0.01,4680,15072,174.6
16000000,0.0,0.01,4680,15074,200.3
18000000,0.0,0.01,4680,15075,225.6
20000000,0.0,0.01,4680,15075,251.4
22000000,0.0,0.01,4680,15076,276.8
24000000,0.0,0.01,4680,15076,302.5
